model-1588501844, 1588501848.253, 0.61, 0.2341, 0.53, 0.2501
model-1588501844, 1588501848.295, 0.53, 0.252, 0.52, 0.2493
model-1588501844, 1588501848.339, 0.54, 0.2402, 0.65, 0.2212
model-1588501844, 1588501848.381, 0.65, 0.2282, 0.52, 0.2581
model-1588501844, 1588501848.425, 0.55, 0.2483, 0.54, 0.2427
model-1588501844, 1588501848.468, 0.62, 0.2259, 0.66, 0.2254
model-1588501844, 1588501848.51, 0.56, 0.2329, 0.64, 0.2195
model-1588501844, 1588501848.552, 0.55, 0.2408, 0.65, 0.2197
model-1588501844, 1588501848.597, 0.57, 0.2403, 0.54, 0.2512
model-1588501844, 1588501848.639, 0.67, 0.2231, 0.66, 0.2209
model-1588501844, 1588501848.681, 0.54, 0.2403, 0.51, 0.2634
model-1588501844, 1588501848.724, 0.57, 0.2373, 0.63, 0.2343
model-1588501844, 1588501848.766, 0.6, 0.2411, 0.67, 0.2203
model-1588501844, 1588501848.808, 0.68, 0.2264, 0.6, 0.2353
model-1588501844, 1588501848.853, 0.52, 0.246, 0.63, 0.231
model-1588501844, 1588501848.895, 0.62, 0.2316, 0.67, 0.2146
model-1588501844, 1588501848.937, 0.57, 0.2477, 0.57, 0.2203
model-1588501844, 1588501848.98, 0.71, 0.212, 0.57, 0.2402
model-1588501844, 1588501849.022, 0.56, 0.2412, 0.5, 0.2428
model-1588501844, 1588501849.064, 0.62, 0.2299, 0.58, 0.2378
model-1588501844, 1588501849.109, 0.65, 0.2111, 0.59, 0.2298
model-1588501844, 1588501849.151, 0.61, 0.2294, 0.61, 0.2282
model-1588501844, 1588501849.193, 0.58, 0.2315, 0.65, 0.2144
model-1588501844, 1588501849.236, 0.58, 0.2429, 0.62, 0.2303
model-1588501844, 1588501849.279, 0.68, 0.2162, 0.6, 0.2512
model-1588501844, 1588501849.321, 0.63, 0.2348, 0.58, 0.2307
model-1588501844, 1588501849.365, 0.63, 0.225, 0.53, 0.2309
